run_id	phi_cascade	delta_xd
2	0.325459	0.698428
4	0.290014	0.631238
5	0.311629	0.672429
6	0.325023	0.697614
7	0.379335	0.797193
8	0.381644	0.801338
9	0.463517	0.944040
10	0.482095	0.975309
11	0.374227	0.787995
12	0.409578	0.850955
13	0.339867	0.725229
14	0.350752	0.745286
15	0.359879	0.761979
16	0.353245	0.749855
17	0.352115	0.747786
18	0.358550	0.759554
19	0.358987	0.760352
20	0.353804	0.750881
21	0.352839	0.749112
22	0.349192	0.742421
23	0.349482	0.742954
24	0.353148	0.749678
25	0.344137	0.733116
26	0.355369	0.753744
27	0.358682	0.759796
29	0.365774	0.772701
30	0.343515	0.731970
31	0.345587	0.735789
32	0.355615	0.754194
33	0.351746	0.747109
34	0.344009	0.732881
35	0.328076	0.703319
36	0.321819	0.691612
37	0.330877	0.708541
38	0.309425	0.668260
39	0.302111	0.654376
40	0.304530	0.658976
41	0.300760	0.651803
42	0.276709	0.605540
43	0.279864	0.611659
44	0.289836	0.630896
45	0.291345	0.633795
46	0.241380	0.535980
47	0.281188	0.614222
48	0.271890	0.596165
49	0.282179	0.616137
50	0.271779	0.595949
51	0.489537	0.987723
52	0.487285	0.983974
53	0.473581	0.961027
54	0.486588	0.982811
55	0.470455	0.955763
56	0.460442	0.938826
57	0.461896	0.941293
58	0.453398	0.926841
59	0.456899	0.932805
60	0.446290	0.914689
