sample_id	phi_cascade	delta_xd
USGS_PGRL_51	0.4518	0.9242
USGS_PGRL_52	0.4561	0.9315
USGS_PGRL_53	0.4462	0.9145
USGS_PGRL_54	0.4537	0.9274
USGS_PGRL_55	0.445	0.9124
USGS_PGRL_56	0.4384	0.9011
USGS_PGRL_57	0.4369	0.8985
USGS_PGRL_58	0.4293	0.8853
USGS_PGRL_59	0.4254	0.8787
USGS_PGRL_60	0.4271	0.8816
Junin_Oil_A	0.4701	0.9551
Junin_Oil_B	0.4208	0.8705
Junin_Oil_C	0.3935	0.8225
Junin_Oil_D	0.4382	0.9007
Junin_Oil_E	0.3538	0.7509
Junin_Oil_F	0.4951	0.997
Junin_Oil_G	0.3759	0.791
Junin_Oil_H	0.4337	0.8931
Junin_Oil_I	0.4363	0.8975
Junin_Oil_J	0.447	0.9159
Junin_Oil_K	0.4758	0.9648
Bongor_Oil_B1	0.4196	0.8684
Bongor_Oil_B2	0.3961	0.8271
Bongor_Oil_B3	0.3766	0.7922
Bongor_Oil_B4	0.3546	0.7523
Bongor_Oil_B5	0.3391	0.7237
Bongor_Oil_B6	0.4416	0.9066
Bongor_Oil_B7	0.4066	0.8456
Bongor_Oil_B8	0.3636	0.7687
Junggar_CP1	0.3698	0.7799
Junggar_CP2	0.3918	0.8194
Junggar_CP3	0.4083	0.8486
Junggar_CP4	0.4398	0.9035
Junggar_CP5	0.4618	0.9411
Junggar_CP6	0.4958	0.9981
Junggar_CP7	0.5258	1.0473
Athabasca_L26	0.505	1.0133
Athabasca_L27	0.5365	1.0647
Athabasca_L28	0.5625	1.1063
Athabasca_L29	0.594	1.1557
Athabasca_L30	0.62	1.1959
