fitted residual basin
7.8500 -0.004484 USGS PGRL 
7.8647 -0.006308 USGS PGRL 
7.8308 -0.002159 USGS PGRL 
7.8565 -0.005279 USGS PGRL 
7.8267 -0.001647 USGS PGRL 
7.8042 0.001100 USGS PGRL 
7.7990 0.001735 USGS PGRL 
7.7731 0.004898 USGS PGRL 
7.7597 0.006560 USGS PGRL 
7.7655 0.005821 USGS PGRL 
10.0087 -0.008613 Orinoco Oi
9.8402 0.002162 Orinoco Oi
9.7469 0.008125 Orinoco Oi
9.8997 -0.001639 Orinoco Oi
9.6112 0.016799 Orinoco Oi
10.0942 -0.014073 Orinoco Oi
9.6867 0.011973 Orinoco Oi
9.8843 -0.000656 Orinoco Oi
9.8932 -0.001225 Orinoco Oi
9.9298 -0.003562 Orinoco Oi
10.0282 -0.009858 Orinoco Oi
7.8493 -0.010329 Bongor Bas
7.7690 -0.002848 Bongor Bas
7.7023 0.003361 Bongor Bas
7.6271 0.010375 Bongor Bas
7.5741 0.015324 Bongor Bas
7.9245 -0.017336 Bongor Bas
7.8049 -0.006175 Bongor Bas
7.6579 0.007512 Bongor Bas
8.1876 -0.005897 Junggar Ba
8.2628 -0.004087 Junggar Ba
8.3192 -0.002751 Junggar Ba
8.4269 -0.000179 Junggar Ba
8.5021 0.001619 Junggar Ba
8.6183 0.004377 Junggar Ba
8.7208 0.006834 Junggar Ba
10.9798 -0.039925 Athabasca 
11.0875 -0.018457 Athabasca 
11.1764 -0.000738 Athabasca 
11.2841 0.020729 Athabasca 
11.3730 0.038448 Athabasca 
